Winkel	Intensität	Intensität	Intensität	Intensität	Intensität
°	µW	µW	µW	µW	µW
	6g 15 ml	6g 20 ml	6g 25 ml	6g 30 ml	Referenz
-90	0,75	0,602888086642599	0,42998352553542	0,334328358208955	0
-80	0,877862595419847	0,75812274368231	0,614497528830313	0,505970149253731	0,0311158798283262
-70	0,950381679389313	0,891696750902527	0,771004942339374	0,686567164179104	0,116952789699571
-60	1	0,898916967509025	0,899505766062603	0,822388059701493	0,244635193133047
-50	0,969465648854962	1	0,942339373970346	0,925373134328358	0,412017167381974
-40	0,870229007633588	0,967509025270758	1	1	0,584763948497854
-30	0,732824427480916	0,88086642599278	0,962108731466227	0,991044776119403	0,765021459227468
-20	0,572519083969466	0,750902527075812	0,86326194398682	0,928358208955224	0,889484978540773
-10	0,406488549618321	0,595667870036101	0,731466227347611	0,816417910447761	0,975321888412017
0	0,238549618320611	0,407942238267148	0,560131795716639	0,656716417910448	1
10	0,114503816793893	0,249097472924188	0,383855024711697	0,495522388059702	0,968884120171674
20	0,0267175572519084	0,115523465703971	0,228995057660626	0,328358208955224	0,88412017167382
30	0	0,0324909747292419	0,102141680395387	0,177611940298507	0,765021459227468
40	0,0324427480916031	0	0,0230642504118616	0,0611940298507463	0,601931330472103
50	0,122137404580153	0,0288808664259928	0	0	0,413090128755365
60	0,267175572519084	0,11913357400722	0,0395387149917628	0	0,254291845493562
70	0,423664122137405	0,245487364620939	0,133443163097199	0,0582089552238806	0,124463519313305
80	0,603053435114504	0,404332129963899	0,263591433278418	0,171641791044776	0,036480686695279
90	0,770992366412214	0,566787003610108	0,453047775947282	0,326865671641791	0
