Winkel	Intensität	Intensität	Intensität	Intensität	Intensität
°	µW	µW	µW	µW	µW
	6g 15 ml	6g 20 ml	6g 25 ml	6g 30 ml	Referenz
90	40,2	17,6	27	23,8	1,3
80	46,9	21,9	38,2	35,3	4,2
70	50,7	25,6	47,7	47,4	12,2
60	53,3	25,8	55,5	56,5	24,1
50	51,7	28,6	58,1	63,4	39,7
40	46,5	27,7	61,6	68,4	55,8
30	39,3	25,3	59,3	67,8	72,6
20	30,9	21,7	53,3	63,6	84,2
10	22,2	17,4	45,3	56,1	92,2
0	13,4	12,2	34,9	45,4	94,5
-10	6,9	7,8	24,2	34,6	91,6
-20	2,3	4,1	14,8	23,4	83,7
-30	0,9	1,8	7,1	13,3	72,6
-40	2,6	0,9	2,3	5,5	57,4
-50	7,3	1,7	0,9	1,4	39,8
-60	14,9	4,2	3,3	1,4	25
-70	23,1	7,7	9	5,3	12,9
-80	32,5	12,1	16,9	12,9	4,7
-90	41,3	16,6	28,4	23,3	1,3
